@relation bugset3

@attribute loc numeric
@attribute v(g) numeric
@attribute ev(g) numeric
@attribute iv(g) numeric
@attribute n numeric
@attribute v numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute e numeric
@attribute b numeric
@attribute T numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute uniq_Op numeric
@attribute uniq_Opnd numeric
@attribute total_Op numeric
@attribute total_Opnd numeric
@attribute branchCount numeric
@attribute defect {false,true}

@data
74,2,1,2,229,1394.03,0.06,16.14,86.3,22518.93,0.46,1251.05,45,13,14,16,52,124,105,3,true
64,13,10,4,185,1105.8,0.04,25.65,43.11,28362.19,0.37,1575.68,44,12,4,27,37,118,73,25,true
47,12,4,5,149,683.16,0.02,46.67,14.64,31880.77,0.23,1771.15,36,4,5,15,9,93,56,23,false
61,1,1,1,255,1153.51,0.01,79.69,14.48,91920.19,0.38,5106.68,43,2,13,15,8,170,85,1,false
13,1,1,1,46,188.02,0.1,10,18.8,1880.23,0.06,104.46,9,0,2,10,7,32,14,1,false
36,2,1,2,332,1754.75,0.07,15,116.98,26321.3,0.58,1462.29,32,0,1,6,33,167,165,3,true
9,1,1,1,27,102.8,0.28,3.61,28.47,371.22,0.03,20.62,7,0,0,5,9,14,13,1,true
15,3,1,3,51,233.83,0.1,10.05,23.28,2348.96,0.08,130.5,9,0,4,13,11,34,17,5,false
18,4,4,1,76,369.21,0.07,15.38,24,5680.1,0.12,315.56,7,11,9,16,13,51,25,7,false
20,2,1,2,57,279.69,0.13,7.67,36.48,2144.31,0.09,119.13,14,0,3,12,18,34,23,3,false
19,2,1,2,41,174.17,0.15,6.75,25.8,1175.61,0.06,65.31,14,0,2,9,10,26,15,3,false
30,4,1,1,54,253.82,0.08,12,21.15,3045.88,0.08,169.22,21,2,5,13,13,30,24,7,true
14,2,1,2,22,83.76,0.17,6,13.96,502.57,0.03,27.92,9,0,1,8,6,13,9,3,false
29,1,1,1,173,865,0.11,9.23,93.71,7984.62,0.29,443.59,22,0,4,6,26,93,80,1,false
45,2,1,1,86,413.43,0.13,8,51.68,3307.46,0.14,183.75,22,11,9,8,20,46,40,3,false
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
28,3,1,3,107,544.36,0.07,13.36,40.73,7274.61,0.18,404.14,20,0,6,12,22,58,49,5,false
15,2,1,2,38,152,0.11,9.17,16.58,1393.33,0.05,77.41,12,0,1,10,6,27,11,3,false
17,4,4,1,28,106.61,0.1,9.9,10.77,1055.4,0.04,58.63,12,0,1,9,5,17,11,7,false
22,8,8,1,65,315.77,0.1,9.75,32.39,3078.75,0.11,171.04,18,0,2,13,16,41,24,15,false
15,1,1,1,41,177.2,0.19,5.33,33.22,945.06,0.06,52.5,9,0,0,8,12,25,16,1,true
14,3,1,1,40,175.69,0.11,9.35,18.79,1642.73,0.06,91.26,12,0,0,11,10,23,17,5,false
